word,lemma,uni_lemma,lexical_class,aoa,aoa_fit
ã,ã,at,function_words,25,25.25750024
ãa,ãa,that,function_words,19,24.59947953
abeille,abeille,bee,nouns,28,27.78041542
ãcharpe,ãcharpe,scarf,nouns,29,27.48004701
ãchelle,ãchelle,ladder,nouns,29,28.92475658
acheter,acheter,buy,verbs,29,28.55334668
ãcole,ãcole,NA,other,25,24.94216683
ãcouter,ãcouter,listen,verbs,27,26.00829658
ãcrire,ãcrire,write,verbs,26,25.36880329
ãcureuil,ãcureuil,squirrel,nouns,29,29.50051285
aider,aider,help,verbs,28,27.61011258
aie,avoir,ouch,other,19,18.59957661
aimer,aimer,love,verbs,27,26.75066227
ãlãphant,ãlãphant,elephant,nouns,19,23.72512167
aller,aller,NA,verbs,25,25.37003146
allo,allo,NA,other,17,16
ãne,ãne,donkey,nouns,29,28.92132151
apporter,apporter,bring,verbs,28,27.87551129
aprãs,aprãs,after,other,28,26.94735499
arbre,arbre,tree,nouns,25,25.29597337
arrãªter,arrãªter,stop,verbs,25,25.7626393
arrosoir,arrosoir,NA,nouns,28,26.85675682
aspirateur,aspirateur,vacuum,nouns,25,25.02881388
assiette,assiette,plate,nouns,24,23.98214505
ãtoile,ãtoile,star,nouns,25,25.76398796
attendre,attendre,wait,verbs,29,27.80633704
attention,attention,watch out,adjectives,24,24.53963004
attraper,attraper,catch,verbs,29,28.07670613
åuf,åuf,egg,nouns,25,25.13498333
aussi,aussi,also,function_words,27,27.48584238
avec,avec,with,function_words,28,27.02638713
avion,avion,airplane,nouns,19,21.36585594
avoir,avoir,have,verbs,28,28.28343549
bãbã,bãbã,baby,other,17,16.981821
baignoire,baignoire,bath,nouns,25,25.90218186
bain,bain,bath,other,19,18.85480524
balai,balai,broom,nouns,25,24.00739692
balanãoire,balanãoire,swing (object),nouns,25,25.88314545
balancer,balancer,swing (action),verbs,29,29.91826878
balayer,balayer,sweep,verbs,29,27.59417766
balle,balle,ball,nouns,22,22.87118487
ballon,ballon,ball,nouns,19,19.0703111
banane,banane,banana,nouns,19,21.49714904
basket,basket,NA,nouns,29,28.38545365
bateau,bateau,boat,nouns,21,21.05287031
baton,baton,stick,nouns,27,26.7284972
beurre,beurrer,butter,nouns,24,24.29219488
biberon,biberon,bottle,nouns,19,21.4116266
bien,bien,good,adjectives,28,26.93378325
bleu,bleu,blue,adjectives,25,25.75600329
boãte,boãte,box,nouns,28,25.77727879
body,body,NA,nouns,19,25.87101332
boire,boire,drink (action),verbs,19,20.50215737
bol,bol,bowl,nouns,25,25.59388147
bonbons,bonbon,candy,nouns,19,22.41109826
bonjour,bonjour,hi,other,22,21.66649829
bottes,bottes,boots,nouns,24,23.8123773
bouche,boucher,mouth,nouns,19,21.97099709
bouteille,bouteille,bottle,nouns,27,25.4165166
boutons,boutons,button,nouns,24,23.89408953
bras,bras,arm,nouns,24,23.13944173
bravo,bravo,bravo,other,19,18.22291185
brosse,brosser,brush (object),nouns,25,26.69092788
bulles,bulles,bubbles,nouns,28,26.9407325
bus,boire,bus,nouns,29,28.14950939
cacher,cacher,hide,verbs,19,23.8168275
cadeau,cadeau,present,nouns,24,23.88050688
cafã,cafã,coffee,nouns,25,24.99275871
caillou,caillou,stone,nouns,19,23.09430496
camion,camion,truck,nouns,22,22.47906632
canapã,canapã,couch,nouns,25,26.15248054
canard,canard,duck,nouns,19,21.4371244
cãrãales,cãrãales,cereal,nouns,29,29.19789346
carottes,carottes,NA,nouns,25,24.2881415
cassã,cassã,broken,adjectives,19,21.20481919
casser,casser,break,verbs,19,22.19784193
cassette,cassette,NA,nouns,26,25.64964053
chaise,chaise,chair,nouns,21,22.21732722
chambre,chambrer,bedroom,nouns,25,24.49291497
chanter,chanter,sing,verbs,25,25.41211562
chapeau,chapeau,hat,nouns,19,20.38979029
chat,chat,cat,nouns,19,18.77341171
chatouiller,chatouiller,tickle,verbs,29,29.66909143
chaussettes,chaussette,sock,nouns,19,19.22980856
chaussure,chaussure,shoe,nouns,19,18.93515061
chãvre,chãvre,goat,nouns,29,28.25616053
chemise,chemise,shirt,nouns,27,27.44905821
cheval,cheval,horse,nouns,24,22.65564398
cheveux,cheveu,hair,nouns,19,21.75885371
chez,chez,NA,function_words,28,27.34061228
chien,chien,dog,nouns,19,19.33895072
chips,chips,chips,nouns,29,28.54235658
chocolat,chocolat,chocolate,nouns,22,21.6438389
chut,choir,shh,other,21,20.70596575
ciel,ciel,sky,nouns,25,26.46633719
ciseaux,ciseau,scissors,nouns,25,25.54185755
clefs,clef,keys,nouns,21,21.82251509
clown,clown,clown,other,25,25.78191826
coca,coca,NA,nouns,28,29.53600637
cochon,cochon,pig,nouns,19,22.54746616
coincã,coincã,NA,adjectives,29,30.10073161
collants,collant,tights,nouns,30,29.20559198
