"word","lemma","uni_lemma","lexical_class","aoa","aoa_fit"
"a","a",NA,"function_words",18,22.482538467094
"âam","âam","yum yum","other",16,59.242726915591
"âay","âay","ouch","other",16,16
"abajo","abajar","down","function_words",24,24.0353403549691
"abeja","abeja","bee","nouns",30,29.7485202993062
"abrir","abrir","open (action)","verbs",20,20.2341762734051
"abuela","abuelo","grandma","other",18,16.2013748968749
"abuelo","abuelo","grandpa","other",19,19.5394521684081
"acabar","acabar","finish","verbs",24,24.7083524020938
"acompaãar","acompaãar",NA,"verbs",30,28.8269255678283
"adentro","adentrar","inside","function_words",28,27.4313056015869
"afuera","aforar","out","function_words",24,25.7266227790468
"agarrar","agarrar",NA,"verbs",28,26.9701070778442
"agua","aguar","water (beverage)","nouns",16,16
"ahã","ahã","there","function_words",21,21.3107479824975
"allã","allã",NA,"function_words",26,26.1859978900456
"almohada","almohada","pillow","nouns",24,23.671982539212
"amarillo","amarillo","yellow","adjectives",30,28.3196830764248
"amiga","amiga",NA,"other",29,27.6386043949489
"amigo","amigar",NA,"other",26,27.6020646160089
"animal","animal","animal","nouns",24,25.2045502674741
"apagar","apagar","turn off","verbs",24,23.8909083152851
"âpum","âpum","bang","other",18,20.3217386364503
"aquã","aquã","here","function_words",24,23.3816803806855
"araãa","araãa","spider","nouns",24,22.4743722136626
"ãrbol","ãrbol","tree","nouns",24,22.2612674579317
"aretes","arete","earrings","nouns",24,26.1886074095738
"arriba","arribar","up","function_words",24,23.882382087856
"arroz","arroz","rice","nouns",22,22.6636594433553
"asã","asã",NA,"function_words",25,25.0364039887101
"ãsta","ãsta","this","function_words",24,26.2388854766372
"ãste","ãste","this","function_words",22,25.1298503268846
"atãºn","atãºn",NA,"nouns",27,26.6783536271353
"atole","atole","atole","nouns",29,27.9768242645069
"atrãs","atrãs","back (location)","function_words",29,28.3656183344233
"aventar","aventar","throw","verbs",28,27.317979429514
"aviãn","aviãn","airplane","nouns",19,20.6579179931484
"ayudar","ayudar","help","verbs",26,26.2886996651526
"azãºcar","azãºcar",NA,"nouns",24,23.4427026421955
"azul","azul","blue","adjectives",28,27.4469415987546
"baão","baão","bathroom","nouns",19,20.3763014811446
"babero","babero","bib","nouns",26,24.6227752430638
"bacinica","bacinica","potty","nouns",25,27.1745274392719
"bailar","bailar","dance","verbs",22,22.5957833913213
"bandera","bandera",NA,"nouns",29,27.6853384355777
"barco","barco","boat","nouns",27,26.6853557795038
"barrer","barrer",NA,"verbs",25,25.4654913497131
"basura","basura","trash","nouns",21,20.8104537515632
"bebã","bebã","baby","other",17,16
"besar","besar",NA,"verbs",24,24.2919184321826
"besitos","besitos","kiss","other",18,18.5693884803685
"bicicleta","bicicleta","bicycle","nouns",24,23.8011461601063
"bien","bien",NA,"function_words",25,26.5338412616083
"bigote","bigote","mustache","nouns",30,28.3034011454658
"boca","boca","mouth","nouns",19,18.5077275355174
"bonita","bonito","pretty","adjectives",24,24.7828299792805
"borrego","borrego","lamb","nouns",27,27.7758312346442
"botãn","botãn","button","nouns",24,23.9731780409278
"botas","botas","boots","nouns",26,26.4680226699194
"bravo","bravo",NA,"other",17,16
"brazo","brazo","arm","nouns",24,24.0533561838453
"brincar","brincar","jump","verbs",24,23.658249277621
"bueno","bueno",NA,"adjectives",24,27.0528933946081
"burro","burro","donkey","nouns",24,24.1514424082915
"buscar","buscar",NA,"verbs",26,26.7874768369506
"caballo","caballo","horse","nouns",19,19.6088111144648
"cabeza","cabeza","head","nouns",19,19.5068850305019
"cachete","cachete","cheek","nouns",24,25.3162932569965
"cafã","cafã","coffee","nouns",24,24.1512441682498
"caja","caja","box","nouns",24,23.6869255132894
"cajãn","cajãn","drawer","nouns",25,26.5180279477264
"calabaza","calabaza",NA,"nouns",30,29.2227558712723
